Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2015,04,08,24.7,1,Y
IDCJAC0010,009225,2015,04,09,24.5,1,Y
IDCJAC0010,009225,2015,04,10,24.1,1,Y
IDCJAC0010,009225,2015,04,11,23.5,1,Y
IDCJAC0010,009225,2015,04,12,22.2,1,Y
IDCJAC0010,009225,2015,04,13,23.4,1,Y
IDCJAC0010,009225,2015,04,14,23.3,1,Y
IDCJAC0010,009225,2015,04,15,22.8,1,Y
IDCJAC0010,009225,2015,04,16,23.2,1,Y
IDCJAC0010,009225,2015,04,17,24.2,1,Y
IDCJAC0010,009225,2015,04,18,27.1,1,Y
IDCJAC0010,009225,2015,04,19,28.2,1,Y
IDCJAC0010,009225,2015,04,20,28.1,1,Y
IDCJAC0010,009225,2015,04,21,28.2,1,Y
IDCJAC0010,009225,2015,04,22,27.1,1,Y
IDCJAC0010,009225,2015,04,23,26.0,1,Y
IDCJAC0010,009225,2015,04,24,21.6,1,Y
IDCJAC0010,009225,2015,04,25,23.2,1,Y
IDCJAC0010,009225,2015,04,26,24.9,1,Y
IDCJAC0010,009225,2015,04,27,25.7,1,Y
IDCJAC0010,009225,2015,04,28,25.4,1,Y
IDCJAC0010,009225,2015,04,29,24.9,1,Y
IDCJAC0010,009225,2015,04,30,26.6,1,Y
IDCJAC0010,009225,2015,05,01,22.3,1,Y
IDCJAC0010,009225,2015,05,02,21.8,1,Y
IDCJAC0010,009225,2015,05,03,23.0,1,Y
IDCJAC0010,009225,2015,05,04,17.2,1,Y
IDCJAC0010,009225,2015,05,05,20.1,1,Y
IDCJAC0010,009225,2015,05,06,21.4,1,Y
IDCJAC0010,009225,2015,05,07,23.1,1,Y
IDCJAC0010,009225,2015,05,08,22.6,1,Y
IDCJAC0010,009225,2015,05,09,23.4,1,Y
IDCJAC0010,009225,2015,05,10,23.8,1,Y
IDCJAC0010,009225,2015,05,11,25.0,1,Y
IDCJAC0010,009225,2015,05,12,23.7,1,Y
