Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009225,2015,04,08,16.3,1,Y
IDCJAC0011,009225,2015,04,09,17.6,1,Y
IDCJAC0011,009225,2015,04,10,19.1,1,Y
IDCJAC0011,009225,2015,04,11,16.9,1,Y
IDCJAC0011,009225,2015,04,12,16.6,1,Y
IDCJAC0011,009225,2015,04,13,12.1,1,Y
IDCJAC0011,009225,2015,04,14,13.6,1,Y
IDCJAC0011,009225,2015,04,15,12.5,1,Y
IDCJAC0011,009225,2015,04,16,12.3,1,Y
IDCJAC0011,009225,2015,04,17,9.3,1,Y
IDCJAC0011,009225,2015,04,18,9.3,1,Y
IDCJAC0011,009225,2015,04,19,14.3,1,Y
IDCJAC0011,009225,2015,04,20,12.4,1,Y
IDCJAC0011,009225,2015,04,21,9.7,1,Y
IDCJAC0011,009225,2015,04,22,8.9,1,Y
IDCJAC0011,009225,2015,04,23,10.3,1,Y
IDCJAC0011,009225,2015,04,24,11.3,1,Y
IDCJAC0011,009225,2015,04,25,11.9,1,Y
IDCJAC0011,009225,2015,04,26,11.3,1,Y
IDCJAC0011,009225,2015,04,27,10.0,1,Y
IDCJAC0011,009225,2015,04,28,14.8,1,Y
IDCJAC0011,009225,2015,04,29,13.6,1,Y
IDCJAC0011,009225,2015,04,30,16.6,1,Y
IDCJAC0011,009225,2015,05,01,14.2,1,Y
IDCJAC0011,009225,2015,05,02,11.2,1,Y
IDCJAC0011,009225,2015,05,03,8.9,1,Y
IDCJAC0011,009225,2015,05,04,8.9,1,Y
IDCJAC0011,009225,2015,05,05,4.4,1,Y
IDCJAC0011,009225,2015,05,06,5.1,1,Y
IDCJAC0011,009225,2015,05,07,6.8,1,Y
IDCJAC0011,009225,2015,05,08,6.6,1,Y
IDCJAC0011,009225,2015,05,09,7.9,1,Y
IDCJAC0011,009225,2015,05,10,7.8,1,Y
IDCJAC0011,009225,2015,05,11,9.3,1,Y
IDCJAC0011,009225,2015,05,12,13.0,1,Y
IDCJAC0011,009225,2015,05,13,12.4,1,Y
IDCJAC0011,009225,2015,05,14,13.9,1,Y
IDCJAC0011,009225,2015,05,15,12.0,1,Y
IDCJAC0011,009225,2015,05,16,12.6,1,Y
IDCJAC0011,009225,2015,05,17,11.9,1,Y
IDCJAC0011,009225,2015,05,18,14.0,1,Y
IDCJAC0011,009225,2015,05,19,7.5,1,Y
IDCJAC0011,009225,2015,05,20,8.6,1,Y
IDCJAC0011,009225,2015,05,21,9.6,1,Y
IDCJAC0011,009225,2015,05,22,8.6,1,Y
IDCJAC0011,009225,2015,05,23,6.6,1,Y
IDCJAC0011,009225,2015,05,24,8.2,1,Y
IDCJAC0011,009225,2015,05,25,9.8,1,Y
IDCJAC0011,009225,2015,05,26,8.6,1,Y
IDCJAC0011,009225,2015,05,27,7.4,1,Y
IDCJAC0011,009225,2015,05,28,3.7,1,Y
IDCJAC0011,009225,2015,05,29,4.6,1,Y
IDCJAC0011,009225,2015,05,30,7.8,1,Y
IDCJAC0011,009225,2015,05,31,5.2,1,Y
IDCJAC0011,009225,2015,06,01,6.4,1,Y
IDCJAC0011,009225,2015,06,02,12.1,1,Y
IDCJAC0011,009225,2015,06,03,15.8,1,Y
IDCJAC0011,009225,2015,06,04,12.6,1,Y
IDCJAC0011,009225,2015,06,05,9.2,1,Y
IDCJAC0011,009225,2015,06,06,12.2,1,Y
IDCJAC0011,009225,2015,06,07,9.0,1,Y
IDCJAC0011,009225,2015,06,08,7.0,1,Y
IDCJAC0011,009225,2015,06,09,9.7,1,Y
IDCJAC0011,009225,2015,06,10,12.9,1,Y
IDCJAC0011,009225,2015,06,11,11.0,1,Y
IDCJAC0011,009225,2015,06,12,13.3,1,Y
IDCJAC0011,009225,2015,06,13,8.3,1,Y
IDCJAC0011,009225,2015,06,14,5.3,1,Y
IDCJAC0011,009225,2015,06,15,5.1,1,Y
IDCJAC0011,009225,2015,06,16,9.5,1,Y
